age_group,a,a_err,b,b_err,c,c_err,A,A_err,y0,y0_err
0,0.170974217416447,0.0398641790955257,-690.241460395494,160.612772209045,696677.534471036,161776.945062409,0.0,0.0,0.0,0.0
5,0.0,0.0,-0.0700074265639997,0.0295070733546815,144.72868442875,59.442087898498,0.0,0.0,0.0,0.0
10,0.0,0.0,-0.167912778164677,0.0348336263013748,343.035884619248,70.1724448081039,0.0,0.0,0.0,0.0
15,0.0,0.0,-1.09921773246919,0.0688780239190725,2231.818375548,138.754978664424,-0.00596964649854401,0.000977324764017331,25.2213439063379,1.1222108821867
20,0.0,0.0,-1.65199663645422,0.0984450421356138,3359.16853575701,198.317840696583,-0.010608751630917,0.00139685740240452,26.8325779504582,0.886104168969822
25,0.0,0.0,-1.28360074973817,0.103079610590908,2625.61025352484,207.654190205975,-0.00696213345199478,0.00146261826870748,26.5782964410182,1.41258606187964
30,0.0878377728412157,0.0481184650726786,-354.040893688149,193.869289306444,356804.988843111,195274.516062004,0.0,0.0,0.0,0.0
35,0.210179407961475,0.0581370917067836,-846.748916953418,234.23433466786,852899.96690602,235932.140211598,0.0,0.0,0.0,0.0
40,0.448754150877572,0.0666545098366951,-1807.89409561027,268.551012188684,1820967.73068738,270497.554061825,0.0133967914305359,0.00239533864223622,20.7608601006307,1.58683260549846
45,1.10227507310569,0.0873656114341799,-4445.29788473782,351.99603804661,4481940.06403863,354547.416203956,0.0308139937229859,0.00313962593123375,27.7644405932159,0.696118468634293
50,1.61264033061161,0.130445800142087,-6516.07944589059,525.566113225916,6582477.69817508,529375.582577292,0.0585467046506225,0.0046877827368175,29.5733019483471,0.590183441378661
55,-1.45157636823539,0.181530919964593,5831.07686483507,731.388054915135,-5855417.29877777,736689.38701148,0.111049314205018,0.00652361016212695,29.9960340595883,0.443759161967911
60,-1.97370185196027,0.249180989409761,7959.71157336526,1003.9501766255,-8024466.834528,1011227.12431677,0.144654090625842,0.00895472558813916,28.7065609575464,0.437059342812261
65,0.0,0.0,47.8123475801046,0.732597533495034,-95623.5348930264,1475.82014456244,0.146733470262446,0.01039498044216,28.8310943115771,0.502925340080986
70,8.74572858254921,0.297748144927693,-35229.9884885611,1199.62724045567,35479419.4677902,1208322.51911455,0.169438881242444,0.0107000653602124,30.7881496150988,0.501809358125578
75,0.0,0.0,-21.7972298600757,0.925076541265677,44770.4095249468,1863.57006114778,0.254043144897067,0.0131261055552353,32.074377153324,0.449521542788248
80,0.0,0.0,-8.95106195402951,1.31497004407355,19112.5983747769,2649.01189229579,0.356276444145891,0.0186583864468783,31.7485505566867,0.444993845849879
85,0.0,0.0,31.2101519600968,1.53557264127775,-61847.2088722662,3093.41643771128,0.384469797162191,0.0217885630841782,30.6734304658633,0.446898161946493
90,0.0,0.0,58.9693110895633,1.23982235616466,-118066.300850778,2497.62637513437,0.304325048291535,0.0175921001029343,30.0384702151714,0.437793820968706
